Shape Parameter MLE,Scale Parameter MLE,Concentration (uM)
2.5051494614061167,128.7886927523107,7
2.6740648426471707,124.91288394997044,7
2.416524413292827,128.9225434198793,7
2.4330007882669493,138.5078202168661,7
2.4943018558988843,128.3609282173549,7
2.530331297910454,122.198519160131,7
2.518497750001765,129.16269931792647,7
2.2858119659527816,137.83494091285817,7
2.508881159129717,128.73660515014979,7
2.441175458121829,135.62028310608656,7
2.404286949426996,130.60225963489125,7
2.28898198695365,135.51984948362124,7
2.2290793325825153,145.31274824071983,7
2.5226779785934665,127.84568255845458,7
2.3833644122337274,135.0747971479236,7
2.380828493087442,140.55050102916474,7
2.478790294371344,135.7971666404097,7
2.479142920959432,129.82933544136012,7
2.3160176092853986,142.03124179288804,7
2.5443407241074274,128.59357939037793,7
2.419911682314006,135.0169107408122,7
2.5831006218962225,127.12172290078294,7
2.5554828903283426,120.36536598983778,7
2.5211528137533987,129.85300232599712,7
2.63215876508259,119.64102342137997,7
2.409966284312115,134.28403903075917,7
2.6191984924449936,124.41919130827792,7
2.526181058053535,127.32235499779415,7
2.1842366017081187,147.69763753316047,7
2.497558965351477,133.32181798417625,7
2.5643851345735684,121.99715770630552,7
2.3220104145261637,143.45311072369697,7
2.5017509824030344,128.23857113746126,7
2.4798391223328062,120.9676079150781,7
2.5014458935099526,130.25669743690466,7
2.392129775327744,137.63292973506185,7
2.640721533293962,120.82624315269285,7
2.5019241261514664,130.64253820125603,7
2.5092254610320346,129.0456450658433,7
2.4411206750096888,129.33432786249102,7
2.46583429899759,125.22912098537928,7
2.286326997256571,137.4777259693371,7
2.5228737879358873,127.180421317293,7
2.6039670284138396,129.954383596751,7
2.7506563419499104,121.46896475632852,7
2.5759067694958646,130.6147544464104,7
2.3532322445693996,138.273333918098,7
2.4182220021502747,120.82892904426159,7
2.363548899363068,133.83508265261514,7
2.43403184779503,136.46933056070307,7
2.687649993196051,122.58647248191502,7
2.2912010830076053,143.01010826283303,7
2.5138275049214283,127.09424508912632,7
2.3936160181896557,136.81252916633292,7
2.516153802987958,127.08861528735768,7
2.317735043625079,135.1475001195219,7
2.5857299290903577,127.34631445889566,7
2.4515775747729336,129.22546589519936,7
2.376356204613211,137.36580535082413,7
2.3966683629847374,133.20387073972344,7
2.2339383144011524,139.07936846643702,7
2.4101044113922465,133.27534802769537,7
2.463403699219627,125.75207198790561,7
2.4692023325395436,135.36113802627295,7
2.500509804291073,122.62851505827041,7
2.530419241234487,129.93009379458573,7
2.4379479778909268,136.24832560384368,7
2.5337172650388236,127.3854213780728,7
2.4056439176107656,135.82363037888362,7
2.4921790543782327,131.5235762209303,7
2.580575086456836,125.29465654170981,7
2.280404530701582,135.60070306374365,7
2.477774079334509,126.94445435835321,7
2.237259949167542,142.18702627455727,7
2.4661586578267087,123.77418949135226,7
2.687741647419319,117.96907807148142,7
2.60483445497111,124.13496651687132,7
2.4716544667928666,134.033751104071,7
2.4738392744719455,126.09838067039693,7
2.456286725020342,134.67533491346026,7
2.4291321692444,130.50439736138836,7
2.673202360286228,121.29687607045497,7
2.6090449579285817,123.113380720484,7
2.396408091591999,128.63020312426508,7
2.3968721482616253,136.30238040000148,7
2.411434975049949,134.30891563459423,7
2.3772409931091127,131.1103779249137,7
2.2468701487510088,142.17397118471078,7
2.6668773064689932,120.88879112076769,7
2.5097289469690267,129.7396330046763,7
2.4403952971148635,133.50692030818374,7
2.4725089735566783,128.2913435097833,7
2.3901369003863757,133.2738671240909,7
2.407350462813794,135.36264385438724,7
2.2364466225186184,142.201658763311,7
2.5238857477363075,125.43043003809767,7
2.457852027065381,131.44902343041815,7
2.4568004210488463,129.30037071282223,7
2.4299063526682128,131.08787130673844,7
2.5933025915380186,127.15067786025446,7
2.6646888128401853,121.78400779740107,7
2.397697681776739,130.68213631421116,7
2.404799554766964,139.34255547748648,7
2.334832969244152,139.7531693779362,7
2.5140636553935485,126.52321077867984,7
2.3314957315469282,133.8784609904948,7
2.4954181739375563,130.79524615977505,7
2.494188703676596,128.20490717643565,7
2.278730610023849,142.13059215838024,7
2.4834343799618397,128.00926971440015,7
2.5381865219796156,124.21386380692404,7
2.1347369548746453,160.832951489578,7
2.4843905195419937,134.9014945311656,7
2.575982915518892,126.88951664916142,7
2.3601883498726854,135.7749501909335,7
2.5880867420704523,130.48583276841728,7
2.413239480322692,137.40710098116318,7
2.3808818173890325,136.25399331826455,7
2.6581596120036033,118.43673595127234,7
2.6438660706880435,120.0878701480355,7
2.579729463272513,130.18183467334603,7
2.362940529240007,132.5754305438382,7
2.2958584501318513,140.55699388661614,7
2.4645750307485454,130.97637157592425,7
2.3066283056417842,140.10778741854975,7
2.515360214275265,131.2038545791431,7
2.360033876007652,129.46684512706724,7
2.475742386814485,125.1829887781142,7
2.3969680416319012,132.32138597359273,7
2.230110543639562,133.76350325941488,7
2.523028917258929,130.0171424933317,7
2.428294841348332,127.51321085288525,7
2.525562275167274,133.2923944579962,7
2.4967882602672877,132.29653857999395,7
2.5197282135898544,128.3937746921805,7
2.4458210082612277,132.4672202708795,7
2.601824282066361,118.38912344646887,7
2.3745536740714583,134.0165930417084,7
2.6915344649797337,123.3484818339984,7
2.35462560039668,140.16430751332337,7
2.4816675884863124,130.76963744416224,7
2.428870987403401,133.8415642326639,7
2.549938913116707,127.49845760810506,7
2.469590358920637,132.67487068449586,7
2.327969218080396,137.5525882024963,7
2.6167002684223144,124.35629166739513,7
2.6074433981240084,124.5407613292654,7
2.4804499158908913,137.10061709190407,7
2.5078798332302448,127.56599972137609,7
2.3605415513261687,136.3174307551227,7
2.314390996861849,142.58861425646427,7
2.4876743564977417,131.88708727649916,7
2.6139412029780473,120.87074340024864,7
2.588152978732484,121.86882294417406,7
2.3202427469376685,132.69817275941722,7
2.6464877318243896,125.01062196413311,7
2.592446146505424,124.61447552943478,7
2.564652822629678,125.71652628297686,7
2.472805008994754,130.97704710661333,7
