Beta_1 Parameter MLE,Beta_2 Parameter MLE
0.004132711282042851,0.004278439771399429
0.004510973343440478,0.004514479992856786
0.003911811295940761,0.005829058107233909
0.004552670412944138,0.004552753095864911
0.003135782408864106,0.008091005342510334
0.004677955289251421,0.0046779555516880565
0.0035505243583109254,0.005461777873459098
0.004267951635749911,0.004270859201762
0.004588448455372415,0.0045959429499888875
0.004112063086069926,0.005205434829604835
0.004524719835234604,0.004524719877724843
0.0030582471474504894,0.008692666724132624
0.004604426579620578,0.004604426816475943
0.003536891364438864,0.00539509741896611
0.004541978306701024,0.004541980515390748
0.004652601728489139,0.004652602114379099
0.003079918550869899,0.007303238658177837
0.004327267523998958,0.00432726819162588
0.0033364987232959147,0.006917431747050584
0.003276592443524311,0.006999478831275643
0.004752520378579739,0.00475467638710115
0.004844904326159308,0.004844904999731782
0.0044353755796597465,0.004435376381993644
0.004745027517891276,0.0047452504106146685
0.004487722458601238,0.004487723391552707
0.0038287454741231177,0.006339975230380043
0.004341005583845288,0.005574750298060374
0.004477408880227382,0.004489900069140766
0.0031547668521636264,0.010844295465410303
0.004788339080934835,0.0047883393568025215
0.0046384612487682985,0.004928546589818128
0.0031706536926215324,0.008140170740607626
0.004179376806877593,0.00430770904503305
0.004932693669031568,0.004932693731828618
0.0033015299589843395,0.0061695900549446235
0.0030519949257988436,0.0069257639667269985
0.004871290489331498,0.0049339938922170565
0.004742249658423379,0.004913345978460043
0.0032125815857022527,0.0079377621609077
0.004692400448119858,0.004692401432081149
0.004073002704339354,0.004100219670608836
0.004788867207914074,0.004815206445225686
0.003510718321436948,0.006656824985498763
0.0037164512312212613,0.006125674149472796
0.004715862840218897,0.004790361549636753
0.002981440351062699,0.007686793777921663
0.0027628428865132198,0.016072072097729092
0.003229761124482229,0.00744093986072643
0.003178322246469899,0.0061004011519819375
0.004741155229835369,0.00475064838198205
0.003314772130340168,0.005271837258964462
0.0035315731740051992,0.005756117052461823
0.0036749638680339584,0.007834075509630245
0.003173193120534095,0.007376699252494489
0.004089253812361914,0.005496437466583985
0.004511945292615259,0.004511947035105404
0.004854772473248112,0.005058107602378907
