Shape Parameter MLE,Scale Parameter MLE
2.1480001396082593,205.12115132896653
2.138368429525892,196.54327913073195
2.3111750993164213,184.5439789174329
2.5621557849035814,177.53622302728866
2.2713500063630083,201.63811305261075
2.5027496459668734,179.98022229094755
2.4003397188486213,189.77647616354787
2.3895177966642795,167.10046813293687
2.8582909890875796,152.33852537825078
2.3844893147877775,187.18203113949934
2.4331842928196026,181.43141283043343
2.507338405154737,168.58262236226864
2.278738835936714,196.77636963728878
2.6509554053140674,162.79590986452413
2.110566003639691,206.28650777189253
2.335059570555273,185.3496166287144
2.458642784835035,195.4431813636886
2.026058347788328,197.83855652308725
2.835632690024104,153.56219917492365
2.6442036367780233,187.7389489159403
2.348522722751055,184.63296800414824
3.0235938402783114,146.91302029253103
2.3352976069195743,185.98645997473463
2.4636357698174507,165.43775077133742
2.4749407661729887,170.77595070304406
2.2653785128008375,197.94805070567145
2.2823161488340347,188.44613470124537
2.486507749496177,187.40189729814966
2.4334918395441,170.71140878471797
2.585765730558701,170.82875119339323
2.863890543430526,144.97052134761418
2.3085875147135937,197.60107142841602
2.254623333119259,184.00892522116206
2.3705575078252026,176.75894266840717
2.28111205473958,187.97110093142174
2.3837318220091106,191.62533822435137
2.8286331572219616,151.82862448275387
2.5769996637933503,166.8047509584588
2.4043641088247423,184.1353229782055
2.6251593683830587,170.89958256021993
2.5463061233303272,172.29892585158493
2.7199890408123792,153.9623327098852
2.500305784320443,180.3276164390834
2.2951145664664248,206.55301670896475
2.311832261461839,185.82494112465236
2.65327848731013,162.0348966486588
2.2117206023609186,201.16837128300398
2.328620541358747,191.15017494728414
2.5293436661921356,177.91635782822752
2.401686241679147,180.72888597333684
2.8160743991859185,158.7378679162254
2.2110165774142487,174.4149740976742
2.5960225361305267,180.43469909968783
2.3479733752858936,175.8871668589025
2.0707556489763808,226.5517121657073
2.3318278529089733,205.92375255493684
2.3963195705927887,179.6879025998354
2.7629586554394474,157.95817270552786
2.2641462316813454,193.34340786954937
2.302888713852884,185.66042252558552
2.171266258863467,198.06869940251065
2.2344110849802936,193.63841020843932
2.4582493292536953,191.01061309657192
2.3183702959471044,171.23189318094194
2.3079126748086054,188.63756510445717
2.1477624225620082,205.29199243682126
2.3357026246534187,182.2664010184131
2.6921336455593936,164.5048074826776
2.8706032156645946,157.37663243771377
2.125713458467608,196.63315367484253
2.4396254383885534,195.66411509783626
2.324938004993942,183.31469022920353
2.3011771652968003,173.44756079547972
2.130964823098073,194.4514427838707
2.2048909808686896,194.20302455357748
2.237155465476389,202.6942298270655
2.6802381015826064,165.28239925399924
2.5470208879523213,166.99752333312162
2.547782778737108,168.55744633166992
2.1175168644658355,191.75909295303222
2.3575317699997576,184.33387573788812
2.3295322809720407,202.94225272580917
2.772461586041517,149.72360149861325
2.188408154035189,185.5031146357835
2.4162077307591794,176.53286821526885
2.4923642745812518,167.29053031465227
2.5172154897180854,185.2584547264539
2.5996485176992628,185.47499292945133
2.9098480314856023,143.85570921424997
2.469798446721106,162.12875441784303
2.369873005970379,195.83440011263727
2.54032296620543,186.45483571742488
2.429590696941157,175.8738447985728
2.5192445359790057,186.59783654517423
2.4939580890666866,188.96287721009762
2.2482506674689033,210.57908498405214
2.817970361093899,161.91445247655253
2.5789190777580617,182.14289251969586
2.75922313734325,164.56710857742468
2.023285905384868,217.5478948204899
2.345489770940213,187.81260638096552
2.8653840233228087,142.47283046496193
2.315138284600498,191.0210044978841
2.2876955240536514,181.71090007407432
2.5974541758606597,164.61041697491788
2.4210798558552415,184.07482773747915
2.8135617837579274,160.96291845191368
2.4809735937896513,185.8439388331477
2.661439780211749,165.7647118014761
2.3525450697849397,181.95618788005925
2.2532778224695766,182.38750131140543
2.2764713093196876,201.47695059439286
2.614725127373594,160.28106547052116
2.3689059626066005,192.95769501396953
2.3970887747569933,177.3947889469325
2.524733397554537,168.6773414108193
2.373457172438502,179.61916258033207
2.4533684759483205,170.55229978112456
2.5591590799201613,161.70052057581006
2.3420091430517673,189.17237542204282
2.3623347302070883,176.86026346845523
2.6528873485750237,156.08077725965114
2.5123540926412122,171.937391095131
2.215777723283349,218.8193694538349
2.2900007698061797,200.7531867079203
2.2544902786949925,189.91167118523916
2.54769535362629,166.43759497834245
2.3565352545252334,189.09406306382348
2.5541053670322227,170.30291654583175
2.3262490623366308,188.96867793588459
2.3415465436417167,178.8886880153021
2.3012297002797957,183.64651208819328
2.351919991195412,209.61811692475231
2.662831981533615,169.07422996343269
2.657375943423077,183.81023872439343
2.2565238295588856,184.00311500802596
2.229869366382265,184.77678290374894
2.740696290336721,172.55251793116304
2.3867435975413875,201.33676023672993
2.4460036709560047,183.85158785116326
2.1589317163670607,205.07771645798022
2.5401384013715953,173.83659104989056
2.332939702542202,192.7650514497133
2.3177122190726873,182.6174154412193
2.294983601670093,202.4347610208079
2.2462404084463072,191.24646115145984
2.5774387239070897,172.53280740591921
2.4461020223042262,181.43070526787258
1.9823529315752684,222.16582180567832
2.2945814830654467,185.89707583553226
2.2300906954842006,196.22783454538865
2.1625296467190314,208.2088281538743
2.462939914542919,177.89084667864546
2.313851130227919,196.88875429600768
2.1751783426501854,198.24201094289236
2.69003076267966,155.00412094077572
2.583486975630923,178.46638886808782
2.177868193747167,201.96659568061426
2.6211700200145254,179.58615923989538
2.31517581687618,203.0857336920802
2.293303614809873,191.3513143511486
2.904141392602936,146.6927749505475
2.529417328347891,164.92856017175464
2.6551866742387267,159.4757011222349
2.180916791959664,193.73318773647082
2.810724757041569,155.67567084213326
2.513767958459037,170.66867918106252
2.5324997497135135,179.4026848652632
2.492888577585345,176.80662263223155
2.762963260643644,158.7496350937638
2.5683657936639737,167.2229427036395
2.6372724816655153,162.5511075471996
2.405629150677509,185.10378047651608
2.001429432524526,212.6332903231835
2.424367002648523,181.05761748782928
2.3653235034327764,196.27907935591514
2.6371109273353803,170.89972304703727
2.259723535354103,192.6308003539659
2.2224987629081974,193.105759298363
2.6661359772185436,171.59868712079617
2.2580695297173423,203.85993391752763
2.3137712131699253,182.1762205337326
2.958250659681044,142.8697387566579
2.7307908740625035,168.90879239322211
2.2538540663516033,195.96782996786723
2.027691076181161,222.7177422502433
2.1643811675414986,194.02128306739374
2.032199196836539,222.80596469506023
