Beta_1 Parameter MLE,Beta_2 Parameter MLE,Concentration (uM)
0.006116717042271284,0.006640649942013359,7
0.0041747946376825395,0.008927866003825963,7
0.006311274698055688,0.006311276340277341,7
0.006527601886265342,0.006531783714259468,7
0.006557715145076974,0.006557716153896077,7
0.005992552592887107,0.006371284487557115,7
0.006021561883172246,0.0063849964355123,7
0.0045055739455837785,0.009378966090952873,7
0.005109059286935436,0.007680314604978112,7
0.005646380555651357,0.007058238162933338,7
0.00657083174742419,0.006589113842718737,7
0.006245487732930653,0.006245488977391197,7
0.0047115653388004036,0.008349103561498384,7
0.00604580900900789,0.006583368858671125,7
0.004592312473572157,0.008770756911639182,7
0.006206644578666071,0.006209495179819985,7
0.006297022183195392,0.006297022672234952,7
0.0064475939479793345,0.006447596228375427,7
0.004773662884322549,0.009623877583695827,7
0.004668466285616524,0.01012153628899571,7
0.004758447606325398,0.008269921703593097,7
0.004342598044472029,0.010509084076345147,7
0.006365193853355184,0.006365194340437695,7
0.004817404125000947,0.008519699050357158,7
0.006375273313279451,0.006375274444257827,7
0.005378168455563021,0.008301642123818108,7
0.005822138015986746,0.006269052064200689,7
0.004238324226045909,0.010833921919657402,7
0.005879132486929808,0.006039862799591129,7
0.005434976997603823,0.007997331317526174,7
0.005892733515438108,0.006110121717798778,7
0.004664383944727203,0.008349824282084393,7
0.005140570171579339,0.007739767831274289,7
0.006237855827285726,0.006249056405277006,7
0.005386077890354578,0.006757041823322256,7
0.004627836970337022,0.009128033706708307,7
0.00644647825429999,0.006496520676453991,7
0.004335816601141049,0.009226405203127175,7
0.006016775128261057,0.006016776335461742,7
0.0050939816079873974,0.007349475658152872,7
0.006153157499044354,0.0061531589704413615,7
0.004577910139654479,0.008800533047505908,7
0.004825310025751186,0.010250038219863283,7
0.004621929939091068,0.01029840166603799,7
0.005938112219927386,0.006614174856755175,7
0.004828329259386073,0.007290550844967103,7
0.004786400867471062,0.008811641374074223,7
0.0059393503069612285,0.006123772874709,7
0.005902445234286862,0.006147273009470389,7
0.0062342637794613204,0.0062342683725231315,7
0.0046541847116281215,0.00872045632291718,7
0.005846650085221585,0.006633525149263134,7
0.005941598627070849,0.00594159866814603,7
0.006050257271939407,0.006050261291938719,7
0.004388547477398743,0.009636630995780101,7
0.004459188411324334,0.009310719668143726,7
0.004451027272298232,0.00996049821089157,7
0.0059060104649149795,0.006432086104611786,7
0.005471545783144876,0.007710777382368507,7
0.006404975079899453,0.0064049781352076285,7
0.006526908689444547,0.006531640732043236,7
0.006333762381875724,0.006334500713800396,7
0.005999311050136405,0.006006757541170174,7
0.004785415227591361,0.008914057086498325,7
0.005208348990224915,0.007636482563055137,7
0.0065163089326758135,0.0069473980428054255,7
0.004762504600231785,0.008905511862907186,7
0.006299175829614015,0.006299176694119845,7
0.006001147000245361,0.006001147105947779,7
0.005385561635271968,0.008280921572049028,7
0.004264421061216433,0.009900317247144816,7
0.004288639576819472,0.011197224948418988,7
0.006276479816637378,0.006319631731539363,7
0.004699535428741518,0.008741122919687368,7
0.0060229700660400926,0.006022970836216637,7
0.004634749229422567,0.01001527863289075,7
0.006251076380580106,0.006251076487733415,7
0.004427813360047935,0.011293979600957453,7
0.0060604322929765425,0.006060432711622457,7
0.006446907361563996,0.00645612184409347,7
0.0061240395857161175,0.0061240399089127215,7
0.00439192898247825,0.009369555870466163,7
0.0041548795379581956,0.009932215281686746,7
0.006335368534379002,0.006335369107516554,7
0.005049461702472282,0.007829740012811488,7
0.005883161252392692,0.006237602019349101,7
0.006392953232947343,0.006392954051828343,7
0.006145004460014513,0.006145005479350261,7
0.006201076209558982,0.00621595117270863,7
0.004566567135006898,0.00930092889663425,7
0.006485257925485357,0.006485258278493685,7
0.004495425883288036,0.009068421062244151,7
0.006123462051780614,0.006123463105573602,7
0.004235303331883493,0.0094102308496915,7
0.005096585516531473,0.008288699582397892,7
0.004496498301154397,0.009296736060101502,7
0.006249186881967822,0.006337286245756131,7
0.005630093516040619,0.006799631927053922,7
0.006161896631655717,0.006188957423748368,7
0.004565790482454023,0.009153856286921409,7
0.0046332753950817825,0.008592449226658257,7
0.004526241969318678,0.0077614174258721184,7
0.005949615874966329,0.006307928665525249,7
0.004544751385564302,0.00840925442607831,7
0.006463750014302299,0.006463861958727755,7
0.006082583591606146,0.006082584515834776,7
0.005457078192830797,0.0062258895445571685,7
0.004754298348143191,0.008551641745347349,7
0.004980533845675775,0.00891625959193058,7
0.004392031889631561,0.008970061482135772,7
0.006402779765133634,0.006402780350898315,7
0.0044872477125278325,0.009829901852664311,7
0.004078673906115185,0.010228582322311204,7
0.0043676876898153015,0.010705249145490023,7
0.006162527250270657,0.006162527453185294,7
0.00590500816437968,0.006059828704849231,7
0.005028417385786501,0.007664419361004583,7
0.0043622133510554115,0.01072470690168064,7
0.0048043931422649035,0.008590867900702664,7
0.006419440993056792,0.006419441441780895,7
0.006141445799529243,0.006141450150242549,7
0.00654971132836071,0.0066209985223033745,7
0.0060488960485486935,0.006048896357063291,7
0.006274928718713286,0.0062749311313730375,7
0.004338062904351725,0.009110960940583213,7
0.006570633262852228,0.0065706400385452035,7
0.005101291771942628,0.008634764383111518,7
0.006245495393174187,0.006534009855491695,7
